model,layer,normalized_depth,beta,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,pairs_assignment_ge_0_5,pairs_assignment_eq_1,mean_ivs,mean_rsm_pearson,median_assignment,min_assignment,max_assignment,median_ivs,max_ivs,efficiency,validity_score
google/gemma-3-1b-it,23,0.8846153846153846,0.5,0.5555555555555556,-6.449797426706187e-05,0.08689165798326333,11,0,9.54910566571728e-05,0.9999045089433428,0.5,0.3333333333333333,0.6666666666666666,5.0075872869925764e-05,0.0002287803174957359,6.39365739489043,0.546770898700572
google/gemma-3-1b-it,23,0.8846153846153846,0.75,0.9722222222222223,0.007296800129089898,0.13033748790621758,12,10,0.00020559453396692962,0.9997944054660332,1.0,0.8333333333333334,1.0,0.00010922526826251389,0.0004985048489012378,7.459267193557532,0.9589828788976336
google/gemma-3-1b-it,23,0.8846153846153846,1.0,0.9722222222222223,0.014620170741235413,0.17378331596652666,12,10,0.00035007930037854923,0.9996499206996216,1.0,0.8333333333333334,1.0,0.0001949842648697464,0.0008520332191808144,5.594450542450128,0.9544938113251911
google/gemma-3-1b-it,23,0.8846153846153846,1.25,1.0,0.021867736286500638,0.21722914278507233,12,12,0.000524870865986136,0.9994751291340139,1.0,1.0,1.0,0.00030712275880717677,0.0012714412139086528,4.603433688246279,0.9777522148555066
google/gemma-3-1b-it,23,0.8846153846153846,1.5,1.0,0.029003308634546393,0.26067497581243515,12,12,0.000727071433664859,0.9992729285663353,1.0,1.0,1.0,0.0004488732311733745,0.0017381460775747204,3.836194703850623,0.9732054309850916
google/gemma-3-1b-it,26,1.0,0.25,0.1111111111111111,-0.0908676180216238,0.13829882567127547,1,0,0.002007569557424214,0.9979924304425758,0.0,0.0,0.5,0.0019477000608211226,0.006347087137130947,0.803413207145234,0.09527365898655935
google/gemma-3-1b-it,26,1.0,0.5,0.5555555555555557,0.0017859831040407208,0.27659765134255093,12,0,0.008296093093592952,0.9917039069064071,0.5,0.5,0.8333333333333334,0.008814566450261185,0.024227495242468033,2.008533090478776,0.5195996973277077
google/gemma-3-1b-it,26,1.0,0.75,0.875,0.09413013588212772,0.41489648322264355,12,6,0.017970202555123105,0.9820297974448767,0.9166666666666667,0.6666666666666666,1.0,0.019034542869367732,0.04712450731557094,2.108959738858178,0.8155401491226125
google/gemma-3-1b-it,26,1.0,1.0,0.9722222222222223,0.18059189963888098,0.5531953026851019,12,10,0.028976570740200307,0.9710234292597996,1.0,0.8333333333333334,1.0,0.03049709379374077,0.06704267465063174,1.757466485938295,0.8879261212135118
google/gemma-3-1b-it,26,1.0,1.25,1.0,0.25728467990109166,0.6914941221475601,12,12,0.03932387147844274,0.9606761285215571,1.0,1.0,1.0,0.040762558094257384,0.07967475379626776,1.4461438694993969,0.8915267163068012
