model,layer,normalized_depth,source_group,target_group,beta,delta_norm,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,ivs,rsm_pearson
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,logic,1.25,8.71240928898835,1.0,0.07178797195928688,0.37349048256874084,0.0028459524528953173,0.9971540475471047
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,logic,1.5,8.71240928898835,1.0,0.09573471317801774,0.4481886327266693,0.004157814935612625,0.9958421850643874
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,causality,0.25,5.976395407670871,0.16666666666666666,-0.011524987040478551,0.05124017596244812,7.114695615650923e-05,0.9999288530438435
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,causality,0.5,5.976395407670871,0.5,-0.00043721043734656906,0.10248035192489624,0.0002784558086962319,0.9997215441913038
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,causality,0.75,5.976395407670871,0.5,0.010657309234942236,0.15372051298618317,0.0006074805700123642,0.9993925194299876
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,causality,1.0,5.976395407670871,0.8333333333333334,0.021676018753028936,0.20496070384979248,0.001037770747531197,0.9989622292524688
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,causality,1.25,5.976395407670871,1.0,0.032538763042687324,0.2562008500099182,0.0015446160367003081,0.9984553839632997
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,causality,1.5,5.976395407670871,1.0,0.04317053449525332,0.30744102597236633,0.002101181998944046,0.997898818001056
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,analogy,0.25,8.67995631902135,0.0,-0.024774503066160025,0.07441985607147217,3.491906338104478e-05,0.999965080936619
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,analogy,0.5,8.67995631902135,0.16666666666666666,-0.0007789844301121507,0.14883971214294434,0.00014167334208881055,0.9998583266579112
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,analogy,0.75,8.67995631902135,0.8333333333333334,0.023500025093292742,0.2232595682144165,0.00031936247566022313,0.9996806375243398
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,analogy,1.0,8.67995631902135,1.0,0.04765189223208177,0.29767942428588867,0.0005614941652282157,0.9994385058347718
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,analogy,1.25,8.67995631902135,1.0,0.07127135097085424,0.37209928035736084,0.0008565143767835792,0.9991434856232164
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,analogy,1.5,8.67995631902135,1.0,0.09399127760252868,0.446519136428833,0.0011895065339205813,0.9988104934660794
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,causality,0.25,25.96626096055063,0.0,-0.0527836976157412,0.1232241615653038,6.613077250294808e-05,0.999933869227497
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,causality,0.5,25.96626096055063,0.5,0.0065479342264259666,0.2464483231306076,0.00022374529359892037,0.9997762547064011
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,causality,0.75,25.96626096055063,1.0,0.0628435529623842,0.3696724474430084,0.0004160928227404659,0.9995839071772595
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,causality,1.0,25.96626096055063,1.0,0.11435152501440071,0.4928966462612152,0.0006062095934850076,0.999393790406515
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,causality,1.25,25.96626096055063,1.0,0.1601450729479693,0.6161207556724548,0.0007797769153038425,0.9992202230846962
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,causality,1.5,25.96626096055063,1.0,0.20001970667661595,0.7393448948860168,0.0009370686198938438,0.9990629313801062
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,analogy,0.25,22.35238717987528,0.0,-0.0435531632220193,0.10607434064149857,9.772827472198653e-05,0.999902271725278
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,analogy,0.5,22.35238717987528,0.3333333333333333,0.0033022220673410985,0.21214868128299713,0.00040401235296716465,0.9995959876470328
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,analogy,0.75,22.35238717987528,1.0,0.048782393079495945,0.3182230293750763,0.0009082412839854781,0.9990917587160145
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,analogy,1.0,22.35238717987528,1.0,0.0916225493026318,0.42429736256599426,0.0015640501819760289,0.998435949818024
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,analogy,1.25,22.35238717987528,1.0,0.13094604557264944,0.5303717255592346,0.0023064295298457216,0.9976935704701543
