source_group,target_group,beta,lambda,gamma,target_assignment_rate,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,constraint_score
logic,causality,2.0,10.0,0.1,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.8469043919074316
logic,causality,0.0,10.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,10.0,0.2,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.025642473711453874
logic,causality,0.5,10.0,0.2,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6138806218827747
logic,causality,0.75,10.0,0.2,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9178187572108936
logic,causality,1.0,10.0,0.2,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8859401920087574
logic,causality,1.5,10.0,0.2,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.816835313119762
logic,causality,2.0,10.0,0.2,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.7461935469138403
logic,causality,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,20.0,0.0,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.0009295249261120908
logic,causality,0.5,20.0,0.0,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6618054220924742
logic,causality,0.75,20.0,0.0,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.986703781912174
logic,causality,1.0,20.0,0.0,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9733020740046974
logic,causality,1.5,20.0,0.0,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9358031612202979
logic,causality,2.0,20.0,0.0,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.8952304738020458
logic,causality,0.0,20.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,20.0,0.05,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.007223952738211548
logic,causality,0.5,20.0,0.05,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6492165664682753
logic,causality,0.75,20.0,0.05,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9678204984758756
logic,causality,1.0,20.0,0.05,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9481243627562995
logic,causality,1.5,20.0,0.05,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.8980365943477012
logic,causality,2.0,20.0,0.05,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.8448750513052501
logic,causality,0.0,20.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,20.0,0.1,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.013518380550311005
